{{c1::spähen}} : <span class="content">forschend, suchend blicken</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">aus dem Fenster, um die Ecke, durch die Gardine spähen</span></span></div>
{{c1::scharf}} : <span class="content">(am Rand o. Ä.) nicht abgerundet und glatt, sondern in eine Spitze, in einen spitzen Winkel zulaufend [und deshalb oft verletzend]</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">scharfe Kanten</span></span></li><li><span class="beispiel"><span class="font_normal">scharfe Krallen</span></span></li><li><span class="beispiel"><span class="font_normal">die Ränder der Scherben sind scharf</span></span></li><li class="noBottomMargin">&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">scharfe Bügelfalten</span></span></li></ul></div>
{{c1::scharf}} : <span class="content">eine beißende, brennende Geschmacksempfindung auslösend</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">scharfer Senf</span></span></li><li>(umgangssprachlich) <span class="beispiel"><span class="font_normal">er trinkt gern scharfe Sachen</span></span> <span class="font_kursiv">(Schnaps)</span></li><li><span class="beispiel"><span class="font_normal">scharf schmecken</span></span></li><li>&lt;substantiviert&gt;: <span class="beispiel"><span class="font_normal">etwas Scharfes <span class="font_normal">(umgangssprachlich; </span><span class="font_kursiv">Schnaps) </span>trinken</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">eine scharf gewürzte Suppe</span></span></li></ul></div>
{{c1::scharf}} : <span class="content">(von bestimmten Chemikalien o. Ä.) ätzend, <a href="http://www.duden.de/rechtschreibung/aggressiv#b2-Bedeutung-2b" meta-ref-anker="#b2-Bedeutung-2b" meta-ref-id="10013648" meta-ref-name="aggressiv" meta-type="art">aggressiv (2b)</a></span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">scharfe Reinigungsmittel</span></span></div>
{{c1::scharf}} : <span class="content">stechend, streng [riechend]</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">scharf riechen</span></span></div>
{{c1::scharf}} : <span class="content">(von Tönen, Lauten, Geräuschen u. Ä.) [unangenehm] durchdringend [und laut]</span>	
{{c1::scharf}} : <span class="content">(von Licht) unangenehm hell und in den Augen schmerzend</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">plötzlich traf ihn das scharfe Licht eines Scheinwerfers</span></span></div>
{{c1::scharf}} : <span class="content">ein als unangenehm oder sogar schmerzhaft empfundenes starkes Kältegefühl bewirkend</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">es wehte ein scharfer Ostwind</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">bei scharfem Frost</span></span></li></ul></div>
{{c1::scharf}} : <span class="content">(besonders von den Augen, vom Gehör) sehr gut funktionierend; genau wahrnehmend</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">er hat schärfere Augen als ich</span></span></li><li><span class="beispiel"><span class="font_normal">ein scharfes Gehör</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">er betrachtete ihn scharf <span class="font_kursiv">(durchdringend und aufmerksam prüfend)</span></span></span></li></ul></div>
{{c1::scharf}} : <span class="content">für gute Sehschärfe sorgend, gutes Sehen ermöglichend</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">umgangssprachlich</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">eine scharfe Brille</span></span></div>
{{c1::scharf}} : <span class="content">deutlich [sichtbar], klar [hervortretend], nicht verschwommen</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">scharfe Umrisse</span></span></li><li><span class="beispiel"><span class="font_normal">scharfe Kontraste</span></span></li><li><span class="beispiel"><span class="font_normal">die Videokamera liefert sehr scharfe Bilder</span></span></li><li><span class="beispiel"><span class="font_normal">das Foto ist gestochen scharf</span></span></li><li><span class="beispiel"><span class="font_normal">ein scharf begrenztes Dreieck</span></span></li><li><span class="beispiel"><span class="font_normal">mit der Brille sehe ich [alles] absolut scharf</span></span></li><li><span class="beispiel"><span class="font_normal">was sich zu nah vor dem Objektiv befindet, wird nicht scharf abgebildet</span></span></li><li>&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">eine scharfe Trennung der beiden Begriffe ist kaum möglich</span></span></li><li>&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">eine scharfe Grenze gibt es nicht</span></span></li><li class="noBottomMargin">&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">in scharfem Gegensatz zu etwas stehen</span></span></li></ul></div>
{{c1::scharf}} : <span class="content">stark ausgeprägt [und deshalb streng wirkend]</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">ein scharf geschnittenes Gesicht</span></span></div>
{{c1::scharf}} : <span class="content">(das Wichtige, das, worauf es ankommt) genau erfassend, wahrnehmend</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ein scharfes Auge, einen scharfen Blick für etwas haben</span></span></li><li><span class="beispiel"><span class="font_normal">ein Problem scharf analysieren</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">denk doch mal scharf nach</span></span></li></ul></div>
{{c1::scharf}} : <span class="content">geeignet, dem Betroffenen zu schaffen zu machen, ihn empfindlich zu treffen</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">eine scharfe Kritik</span></span></li><li><span class="beispiel"><span class="font_normal">ein scharfer Verweis</span></span></li><li><span class="beispiel"><span class="font_normal">er tadelte sie scharf</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">jemanden scharf anfassen</span></span></li></ul></div>
{{c1::scharf}} : <span class="content"><a href="http://www.duden.de/rechtschreibung/massiv#b2-Bedeutung-2" meta-ref-anker="#b2-Bedeutung-2" meta-ref-id="10013953" meta-ref-name="massiv" meta-type="art">massiv (2)</a>, heftig</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">schärfsten Protest einlegen</span></span></li><li><span class="beispiel"><span class="font_normal">etwas scharf verurteilen</span></span></li><li><span class="beispiel"><span class="font_normal">scharf opponieren</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">jemandem scharf widersprechen</span></span></li></ul></div>
{{c1::scharf}} : <span class="content">überaus streng und unnachsichtig</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ein scharfes Verhör</span></span></li><li><span class="beispiel"><span class="font_normal">ein scharfes Urteil</span></span></li><li><span class="beispiel"><span class="font_normal">er gehört zu den schärfsten Prüfern</span></span></li><li><span class="beispiel"><span class="font_normal">jemanden scharf bewachen</span></span></li><li class="noBottomMargin">&lt;substantiviert&gt;: (umgangssprachlich) <span class="beispiel"><span class="font_normal">ein ganz Scharfer</span></span> <span class="font_kursiv">(jemand, der überaus streng nach Vorschrift seinen Dienst als Prüfer, Polizist, Ankläger o. Ä. versieht)</span></li></ul></div>
{{c1::scharf}} : <span class="content">heftig, erbittert</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">scharfe Auseinandersetzungen</span></span></div>
{{c1::scharf}} : <span class="content">sehr schnell; rasant</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">in scharfem Galopp reiten</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">für einen Siebzigjährigen fährt er ungewöhnlich scharf</span></span></li></ul></div>
{{c1::scharf}} : <span class="content">abrupt und heftig [geschehend, verlaufend]</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">eine scharfe Kurve</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">eine scharfe Kehrtwendung machen; scharf bremsen</span></span></li></ul></div>
{{c1::scharf}} : <span class="content">stark, heftig, intensiv</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">das wochenlange scharfe Training hat sich ausgezahlt</span></span></li><li><span class="beispiel"><span class="font_normal">scharf arbeiten</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">das gewürzte Fleisch wird zunächst scharf <span class="font_kursiv">(bei großer Hitze) </span>angebraten</span></span></li></ul></div>
{{c1::scharf}} : <span class="content">(von Hunden) dazu abgerichtet, [auf Befehl] Menschen oder Tiere anzugreifen</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">ein scharfer [Wach]hund</span></span></div>
{{c1::scharf}} : <span class="content">(bei entsprechendem Einsatz) eine zerstörende Wirkung habend</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">mit scharfer Munition schießen</span></span></li><li><span class="beispiel"><span class="font_normal">einen scharfen Schuss abgeben</span></span></li><li><span class="beispiel"><span class="font_normal">eine Bombe, Mine, Sprengladung scharf machen</span></span></li><li><span class="beispiel"><span class="font_normal">die Waffe ist scharf [geladen]</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">hier wird scharf <span class="font_kursiv">(mit scharfer Munition) </span>geschossen</span></span></li></ul></div>
{{c1::scharf}} : <span class="content">(von einem Wurf, Schuss o. Ä.) kraftvoll, wuchtig</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">Ballspiele</span></p></div>
{{c1::scharf}} : <span class="content">deutlich, stark akzentuiert</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">scharf artikulieren</span></span></div>
{{c1::scharf}} : <span class="content">(von Bootsformen) spitz zulaufend</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">Schiffbau</span></p></div>
{{c1::scharf}} : <span class="content">sehr eindrucksvoll und Begeisterung auslösend</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">umgangssprachlich</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">ein echt scharfer Typ</span></span></div>
{{c1::scharf}} : <span class="content">in seiner Unerhörtheit, Unglaublichkeit kaum noch zu überbieten</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">umgangssprachlich</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">ganz schön scharf, was einem so alles zugemutet, geboten wird</span></span></div>
{{c1::scharf}} : <span class="content">vom Sexualtrieb beherrscht; geil; sinnlich</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">umgangssprachlich</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ein scharfer Bursche</span></span></li><li class="noBottomMargin">&lt;substantiviert&gt;: <span class="beispiel"><span class="font_normal">so was Scharfes wie die ist mir schon lange nicht mehr begegnet</span></span></li></ul></div>
{{c1::scharf}} : <span class="content">sexuell erregend</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">umgangssprachlich</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ein scharfer Porno</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">scharfe Sachen <span class="font_kursiv">(Pornografie)</span></span></span></li></ul></div>
{{c1::scharf}} : <span class="content"></span>	<div class="Wendungen"><h3>Wendungen, Redensarten, Sprichwörter</h3><ul><li><span class="iwtext">scharf auf jemanden, etwas sein</span> <span class="content">(<span class="iw_kopf_info">umgangssprachlich:  </span><span class="iw_rumpf_info"><span class="font_normal">von einem heftigen Verlangen nach jemandem, etwas erfüllt sein</span></span>)</span></li><li class="noBottomMargin"><span class="iwtext">nicht scharf auf etwas sein</span> <span class="content">(<span class="iw_kopf_info">umgangssprachlich untertreibend:  </span><span class="iw_rumpf_info"><span class="font_normal">etwas vermeiden wollen, lieber nicht haben, machen wollen: <span class="beispiel"><span class="font_normal">auf diese Art von Tätigkeit bin ich nicht gerade scharf</span></span></span></span>)</span></li></ul></div>
{{c1::scharf}} : <span class="content">ganz nahe, dicht</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">die Autos fuhren scharf rechts heran</span></span></li><li class="noBottomMargin">&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">scharf <span class="font_kursiv">(knapp) </span>kalkulierte Preise</span></span></li></ul></div>
{{c1::hinterziehen}} : <dd class="content">(Steuern o. Ä.) nicht zahlen, unterschlagen</dd>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">Steuern hinterziehen</span></span></div>
{{c1::hinterziehen}} : <span class="content">&lt;Perfektbildung mit »hat«&gt; nach hinten ziehen</span>	
{{c1::hinterziehen}} : <span class="content">&lt;Perfektbildung mit »ist«&gt; (von vorn) nach hinten umziehen</span>	
{{c1::verantworten}} : <span class="content">es auf sich nehmen, für die eventuell aus etwas sich ergebenden Folgen einzustehen; vertreten</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">eine Maßnahme, Entscheidung verantworten, zu verantworten haben</span></span></li><li><span class="beispiel"><span class="font_normal">das ist nicht zu verantworten</span></span></li><li><span class="beispiel"><span class="font_normal">ich kann das [ihr gegenüber, vor Gott, mir selbst, meinem Gewissen] nicht verantworten</span></span></li><li class="noBottomMargin">&lt;im 2. Partizip&gt;: <span class="beispiel"><span class="font_normal">das Unternehmen haftet voll für die von ihm verantworteten Mängel</span></span></li></ul></div>
